name,email,date_of_birth,mobile_no,first_name,last_name,above_18
,Kristen_Horn@lin.com,19740910,737931,Kristen,Horn,True
,Kimberly_Chang@johnson-lopez.biz,19740227,2692047,Kimberly,Chang,True
,Mary_Ball@stevens.biz,19680205,886359,Mary,Ball,True
,Benjamin_Craig@berry.net,19881211,696429,Benjamin,Craig,True
,Cathy_Werner@martinez.net,20180925,7138041,Cathy,Werner,False
,Brandon_Bell@johnson-burgess.com,19611027,768543,Brandon,Bell,True
,Paul_Farley@payne-taylor.com,19801122,8196105,Paul,Farley,True
,Sarah_Mcdaniel@hughes-simon.com,20170426,12556,Sarah,Mcdaniel,False
,Caroline_Anderson@blair-phillips.com,19880227,5818212,Caroline,Anderson,True
,Carl_Jones@coleman.com,19930621,220035,Carl,Jones,True
,Kaylee_Coleman@hammond.com,20091008,156657,Kaylee,Coleman,False
,Charles_Parker@morris-keller.com,19801220,92921,Charles,Parker,True
,Susan_Hess@sharp-hodges.net,19500521,46541,Susan,Hess,True
,Kiara_Collier@chandler.biz,19590521,955551,Kiara,Collier,True
,Scott_Martinez@goodwin.com,19920216,369441,Scott,Martinez,True
,Christopher_Ortega@perez.biz,19590618,9968155,Christopher,Ortega,True
,Michael_Russell@nunez-wright.com,20130120,6400283,Michael,Russell,False
,Dwayne_Johnson@contreras-boyd.com,20061110,115935,Dwayne,Johnson,False
,Deanna_Sherman@wright-sanchez.org,19750425,143073,Deanna,Sherman,True
,Douglas_Francis@king-cross.org,19921221,1535885,Douglas,Francis,True
,Vicki_Diaz@macdonald-day.com,19931005,165459,Vicki,Diaz,True
,Robin_Phillips@krause.net,19740715,69531,Robin,Phillips,True
,Travis_Rice@bradley.net,20060508,3631 6303,Travis,Rice,False
,Ashley_Rocha@hicks.info,19560911,7046565,Ashley,Rocha,True
,Sarah_Jacobson@mclean-jacobs.info,19580309,6107 1779,Sarah,Jacobson,True
,Joseph_Torres@johnson.com,19550505,34376,Joseph,Torres,True
,Kim_Jones@little.net,19850211,34401,Kim,Jones,True
,Melissa_Tanner@johnson.net,19890430,70391,Melissa,Tanner,True
,Sonya_Foster@garcia-browning.com,19881009,143877,Sonya,Foster,True
,Thomas_Rivera@guzman-avila.com,19510715,843813,Thomas,Rivera,True
,Jamie_Silva@hill.com,20060621,469791,Jamie,Silva,False
,Kathleen_Moore@avila.info,19520203,609093,Kathleen,Moore,True
,Evelyn_Pineda@sullivan-collins.net,19580204,8819217,Evelyn,Pineda,True
,Kyle_Peters@cole-edwards.com,19950825,346701,Kyle,Peters,True
,Anthony_Cruz@burns.com,19550222,1742399,Anthony,Cruz,True
,Gary_Harper@bell-mueller.com,19980111,77546,Gary,Harper,True
,Linda_Johnson@williams.biz,19590729,828207,Linda,Johnson,True
,Melissa_Smith@carroll.org,19971208,9831067,Melissa,Smith,True
,Kristen_Floyd@robinson.com,19930525,4685654,Kristen,Floyd,True
,William_Diaz@cruz-norris.com,19870216,97811,William,Diaz,True
,Benjamin_Smith@christian-contreras.com,19871223,9583 5639,Benjamin,Smith,True
,David_Glenn@jenkins-mcfarland.org,20110615,960561,David,Glenn,False
,Joel_Smith@walker-roth.biz,19710909,8287875,Joel,Smith,True
,Larry_Grimes@lewis-richardson.info,20051231,966177,Larry,Grimes,False
,Joseph_Arnold@gibbs.biz,20050821,2019270,Joseph,Arnold,False
,Kyle_Long@galvan.com,19920713,2785329,Kyle,Long,True
,Thomas_Lee@wilson-allen.com,19961028,91381,Thomas,Lee,True
,Jennifer_Hansen@nelson.biz,19630628,308547,Jennifer,Hansen,True
,Lisa_Murray@mcclain.net,20110709,3172233,Lisa,Murray,False
,Meghan_Wade@garcia-brown.org,19820915,610719,Meghan,Wade,True
,Tammie_Brooks@james.com,19620914,114957,Tammie,Brooks,True
,Allison_Livingston@jones-thompson.com,19501201,503175,Allison,Livingston,True
,Chris_Hays@todd-mccoy.info,19510827,2661590,Chris,Hays,True
