name,email,date_of_birth,mobile_no,first_name,last_name,above_18
,Tony_Shepherd@petersen.com,20160703,711447,Tony,Shepherd,False
,Ashlee_Austin@melendez.com,19921209,6454197,Ashlee,Austin,True
,Marc_Meyer@chavez.com,19960517,9727376,Marc,Meyer,True
,Jennifer_Vega@jenkins.net,19710307,6655 1251,Jennifer,Vega,True
,Emily_Christian@hardy-ball.biz,19931127,83586,Emily,Christian,True
,Billy_Knight@thomas.biz,19550127,4983 3743,Billy,Knight,True
,Zachary_Payne@espinoza.info,20180217,7802719,Zachary,Payne,False
,Jeffery_Leon@clark.com,20040324,9076271,Jeffery,Leon,False
,Jennifer_Martin@anderson-ford.com,19990112,1878563,Jennifer,Martin,True
,Katie_Mcgee@moran.com,19670625,65726,Katie,Mcgee,True
,Michael_Parker@mcfarland-johns.com,19841003,569205,Michael,Parker,True
,Robert_Atkins@west.net,20170911,831963,Robert,Atkins,False
,Stephanie_Brown@mueller-simmons.info,19760806,8354970,Stephanie,Brown,True
,Erin_Paul@vaughan-moore.com,20081222,923211,Erin,Paul,False
,Kristina_Torres@wilson.com,19560217,65486,Kristina,Torres,True
,Timothy_Scott@williams.info,19920621,169047,Timothy,Scott,True
,Ronald_Carter@campbell-fitzgerald.com,19680116,5109812,Ronald,Carter,True
,Catherine_Smith@king.org,19880520,1996933,Catherine,Smith,True
,Catherine_Rivers@tate-barnes.com,19750313,8648641,Catherine,Rivers,True
,Cynthia_White@hogan.com,19510821,722319,Cynthia,White,True
,Shawn_Rojas@weber.com,19601215,64641,Shawn,Rojas,True
,John_Leon@campbell-wu.org,19851129,5767672,John,Leon,True
,Karen_Lopez@vargas-lewis.com,19850624,8649712,Karen,Lopez,True
,Megan_Wilson@martinez.com,19530831,591723,Megan,Wilson,True
,Justin_Roberts@wilson.com,20041202,1171528,Justin,Roberts,False
,Ashley_Fernandez@johnson-perry.info,19600322,49631,Ashley,Fernandez,True
,Terry_Oliver@raymond-stewart.info,20130807,6019686,Terry,Oliver,False
,Timothy_Ortega@ramos.com,19980104,5931 2963,Timothy,Ortega,True
,Aaron_Clark@sanchez.com,19640511,3522877,Aaron,Clark,True
